POP_TOT_2022,A2021_1_Compr_media,CUM_2011_2021_TOT_TRS_IMM,TRS_IMM/TOT_POP*1000
3238,380,206,63
6097,390,347,57
5067,415,517,102
3367,415,210,62
3167,418,48,15
4354,423,102,23
3390,448,188,56
6771,450,277,41
3257,450,210,64
8688,453,588,68
4765,453,270,57
3490,458,150,43
5484,463,269,49
6774,463,368,54
3466,463,207,60
4181,465,181,43
3150,470,336,107
3932,470,194,49
8714,470,366,42
5298,470,512,97
4347,473,373,86
3267,475,138,42
5418,475,407,75
4309,475,209,48
3768,475,37,10
4280,475,318,74
4602,478,320,70
8928,483,429,48
3727,483,144,39
3500,490,205,59
7645,490,630,82
4159,490,225,54
8721,493,654,75
3296,493,144,44
9353,495,455,49
5908,495,223,38
3881,500,177,45
3704,500,355,96
3098,500,76,24
4622,500,112,24
4838,500,242,50
3344,500,171,51
4450,500,375,84
5747,500,426,74
3428,503,429,125
5697,503,343,60
4942,503,225,45
3083,503,186,60
6692,505,614,92
13763,505,483,35
3944,508,143,36
3635,510,265,73
6080,510,334,55
3942,510,104,26
5486,515,239,44
4954,515,252,51
6726,515,335,50
6214,515,267,43
3955,515,177,45
3451,518,112,32
3482,518,46,13
4190,518,292,70
5897,520,289,49
3678,520,144,39
7639,520,357,47
3122,520,124,40
4948,520,265,53
4199,520,598,142
3048,525,201,66
8286,525,212,26
5629,525,625,111
6269,525,180,29
3740,525,198,53
10948,525,457,42
4607,525,491,107
10344,525,397,38
3667,528,284,78
11720,530,531,45
5236,530,272,52
3159,530,397,126
5685,535,266,47
4889,535,89,18
4998,535,234,47
8204,535,353,43
3959,535,201,51
6777,540,427,63
3891,540,142,37
4264,540,326,76
3736,543,28,7
3304,545,287,87
4437,545,178,40
4097,545,242,59
3555,550,258,73
6170,550,259,42
9386,550,320,34
10151,550,316,31
7838,550,337,43
3812,550,126,33
4699,550,298,63
3903,550,266,68
3971,550,64,16
3043,553,294,97
5857,553,311,53
4859,555,159,33
7134,555,338,47
3089,555,173,56
3691,555,308,83
3517,560,476,135
3594,560,85,24
3125,560,77,25
7747,560,498,64
3612,560,167,46
3227,560,186,58
3325,560,453,136
7604,560,451,59
4785,560,361,75
7711,563,195,25
6179,565,467,76
8860,565,577,65
12566,565,659,52
6796,565,493,73
15802,565,623,39
5878,568,558,95
10379,568,361,35
5996,570,363,61
4634,570,83,18
3069,570,88,29
14002,570,746,53
3015,570,215,71
5703,570,311,55
3654,575,226,62
4875,575,232,48
13421,575,454,34
3473,575,123,36
6329,575,379,60
10313,575,721,70
5091,575,229,45
3011,575,56,19
3105,575,93,30
3194,575,125,39
9829,580,462,47
3389,585,279,82
7384,585,666,90
4868,585,284,58
5129,585,393,77
7082,585,484,68
3164,588,241,76
3990,590,162,41
4286,593,351,82
4343,593,158,36
3762,595,204,54
7132,595,416,58
14099,595,629,45
5343,595,97,18
4201,595,242,58
5920,595,315,53
3525,600,242,69
6216,600,230,37
6134,600,309,50
