nome_comune,cod_istat,cod_cat,soppresso_nuovo,nome_nuovo_comune,area,reg,prov,Cluster,var_POP_TOT_2001_2011,var_POP_TOT_2011_2022,POP_TOT_2022,var_POP_STR_2001_2011,var_POP_STR_2011_2022,POP_STR_2022,var_POP_ITA_2001_2011,var_POP_ITA_2011_2022,POP_ITA_2022,Max di var_VAL_IMM_2016_2022,Max di 2021_1_Compr_media,CUM_2011_2021_TOT_TRS_IMM,TRS_IMM/TOT_POP*1000,Log1000_val_imm,Log1000norm_val_imm,Log10000_val_imm,Log10000norm_val_imm,Log1000_com_imm_pop,Log1000norm_com_imm_pop,Log10000_com_imm_pop,Log10000norm_com_imm_pop
Acquafredda,17001,A034,,,Nord-ovest,Lombardia,Brescia,paese_piccolo,0.12,-0.11,1518,1.47,-0.08,195,0.03,-0.03,1323,-0.04,915,94,62,99,34,74,34,60,39,45,39
Adro,17002,A060,,,Nord-ovest,Lombardia,Brescia,paese_grande,0.11,-0.1,7171,1.17,-0.24,441,0.06,0.03,6730,-0.04,1250,549,77,103,42,77,42,63,43,47,43
Agnosine,17003,A082,,,Nord-ovest,Lombardia,Brescia,paese_piccolo,-0.02,0.02,1622,-0.01,-0.39,81,-0.02,-0.1,1541,-0.02,835,131,81,97,32,73,32,64,44,48,44
Alfianello,17004,A188,,,Nord-ovest,Lombardia,Brescia,paese_piccolo,0.04,-0.04,2372,1.62,0.03,246,-0.02,-0.04,2126,-0.02,835,125,53,97,32,73,32,57,36,43,36
Anfo,17005,A288,,,Nord-ovest,Lombardia,Brescia,nc,0.11,-0.1,450,1.32,-0.16,43,0.05,-0.06,407,0,850,88,195,98,33,73,33,76,59,57,59
Angolo Terme,17006,A293,,,Nord-ovest,Lombardia,Brescia,paese_piccolo,0.01,-0.01,2309,3.21,-0.02,119,-0.02,-0.1,2190,-0.02,855,288,125,98,33,73,33,70,51,52,51
Artogne,17007,A451,,,Nord-ovest,Lombardia,Brescia,paese,0.13,-0.11,3567,3.92,0.01,299,0.05,0.01,3268,0.34,1250,555,156,103,42,77,42,73,55,55,55
Azzano Mella,17008,A529,,,Nord-ovest,Lombardia,Brescia,paese,0.54,-0.35,3398,1.72,0.04,314,0.47,0.2,3084,-0.04,1100,457,135,101,39,76,39,71,53,53,53
Bagnolo Mella,17009,A569,,,Nord-ovest,Lombardia,Brescia,cittadina,0.12,-0.11,12494,2.23,-0.03,1668,0.02,-0.02,10826,-0.04,1150,1071,86,102,40,77,40,64,45,48,45
Bagolino,17010,A578,,,Nord-ovest,Lombardia,Brescia,paese,0.01,-0.01,3755,2.18,-0.26,78,-0.01,-0.04,3677,0,1015,309,82,100,37,75,37,64,44,48,44
Barbariga,17011,A630,,,Nord-ovest,Lombardia,Brescia,paese_piccolo,0.1,-0.09,2317,2.99,0.06,292,0,-0.04,2025,-0.02,1005,175,76,100,37,75,37,63,42,47,42
