Seleziona periodo,Value,2.002,2.003,2.004,2.005,2.006,2.007,2.008,2.009,2.010,2.011,2.012,2.013,2.014,2.015,2.016,2.017,2.018,2.019,2.020,2.021,2.022
Italia,POP_ITA,55.651.856,55.703.101,55.718.063,55.775.350,55.790.585,55.818.703,55.850.216,55.861.739,55.853.967,55.847.162,55.785.984,55.666.816,55.558.751,55.460.252,55.332.670,55.248.101,55.054.318,54.820.515,54.601.851,54.064.319,53.789.453
Agliè,POP_ITA,2.530,2.499,2.518,2.574,2.554,2.533,2.503,2.465,2.445,2.418,2.449,2.486,2.501,2.444,2.411,2.415,2.400,2.374,2.352,2.286,2.301
Airasca,POP_ITA,3.487,3.476,3.489,3.485,3.474,3.479,3.500,3.497,3.487,3.466,3.576,3.577,3.526,3.515,3.481,3.471,3.418,3.345,3.320,3.360,3.381
Ala di Stura,POP_ITA,478,466,449,446,446,454,457,460,444,456,460,462,461,457,457,455,444,440,439,456,463
Albiano d'Ivrea,POP_ITA,1.662,1.646,1.648,1.629,1.609,1.587,1.572,1.613,1.634,1.673,1.674,1.672,1.636,1.619,1.603,1.586,1.556,1.526,1.530,1.527,1.519
Almese,POP_ITA,5.573,5.601,5.674,5.705,5.950,5.965,5.973,6.005,6.006,6.048,6.037,6.055,6.092,6.072,6.096,6.091,6.102,6.098,6.107,6.062,6.038
Alpette,POP_ITA,289,276,277,276,258,249,256,260,260,263,270,264,264,268,252,246,239,235,237,224,229
Alpignano,POP_ITA,16.504,16.524,16.484,16.483,16.448,16.436,16.582,16.453,16.429,16.370,16.385,16.481,16.576,16.639,16.584,16.575,16.210,16.065,16.030,15.602,15.560
Andezeno,POP_ITA,1.689,1.712,1.741,1.755,1.777,1.818,1.829,1.827,1.840,1.827,1.843,1.856,1.853,1.846,1.831,1.848,1.840,1.838,1.868,1.847,1.848
Andrate,POP_ITA,470,466,463,474,484,473,481,483,477,481,487,493,486,488,471,466,455,461,454,452,444
Angrogna,POP_ITA,775,788,774,803,822,832,847,879,876,870,860,853,871,875,873,874,853,844,830,815,796
Arignano,POP_ITA,886,886,914,920,962,975,992,961,977,1.007,1.020,1.041,1.032,1.009,1.049,1.032,1.048,1.027,1.037,1.037,1.028
Avigliana,POP_ITA,10.820,10.910,11.108,11.257,11.369,11.398,11.411,11.352,11.451,11.571,11.633,11.758,11.746,11.815,11.832,11.814,11.799,11.900,11.875,11.693,11.705
Azeglio,POP_ITA,1.240,1.253,1.235,1.240,1.244,1.248,1.253,1.270,1.261,1.272,1.248,1.244,1.214,1.237,1.210,1.205,1.176,1.179,1.171,1.161,1.153
Bairo,POP_ITA,786,797,806,827,794,791,819,807,802,805,801,787,760,761,753,766,767,764,771,762,764
Balangero,POP_ITA,2.991,3.015,2.991,2.966,2.987,2.967,2.954,2.961,2.992,3.026,3.032,3.103,3.066,3.058,3.030,3.037,3.039,3.039,3.029,2.955,2.941
Baldissero Canavese,POP_ITA,506,510,500,478,482,479,472,483,498,528,504,502,510,522,518,506,500,514,509,508,503
Baldissero Torinese,POP_ITA,3.207,3.282,3.329,3.423,3.436,3.497,3.560,3.632,3.613,3.686,3.668,3.638,3.604,3.591,3.567,3.577,3.525,3.488,3.457,3.545,3.619
Balme,POP_ITA,99,101,104,106,101,102,103,105,99,97,100,107,113,114,118,108,111,112,113,109,102
