Comune,Value,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,
Italia,POP_TOT,56993270,57186378,57611990,58044368,58288996,58510725,59001769,59420592,59690316,59948497,60105185,60277309,60345917,60295497,60163712,60066734,59937769,59816673,59641488,59236213,58983122,
Agliè,POP_TOT,2557,2538,2588,2679,2674,2662,2658,2638,2622,2615,2657,2722,2748,2701,2644,2661,2658,2634,2621,2545,2549,
Airasca,POP_TOT,3543,3544,3605,3648,3642,3666,3775,3794,3786,3762,3858,3853,3791,3798,3761,3726,3671,3613,3598,3633,3653,
Ala di Stura,POP_TOT,480,468,461,458,458,467,480,477,457,468,472,474,470,465,464,460,446,442,441,459,460,
Albiano d'Ivrea,POP_TOT,1687,1673,1702,1696,1687,1661,1676,1715,1734,1774,1807,1805,1793,1754,1728,1701,1681,1642,1644,1638,1628,
Almese,POP_TOT,5648,5679,5805,5863,6134,6157,6218,6309,6314,6344,6346,6380,6393,6387,6387,6407,6412,6406,6426,6355,6310,
Alpette,POP_TOT,293,284,285,282,264,252,260,266,267,270,278,274,274,279,260,255,246,246,248,235,240,
Alpignano,POP_TOT,16647,16695,16737,16767,16737,16781,17074,17059,17054,17000,17067,17202,17311,17370,17335,17447,17201,16991,16945,16484,16438,
Andezeno,POP_TOT,1712,1742,1819,1854,1883,1936,1977,2001,2002,1986,2003,2023,2014,2016,1991,2002,2018,2004,2041,2013,2029,
Andrate,POP_TOT,474,470,474,485,498,488,513,519,519,523,521,520,517,520,505,501,490,497,492,488,474,
Angrogna,POP_TOT,777,790,777,808,826,835,853,888,888,885,873,869,887,891,887,886,865,862,846,838,825,
Arignano,POP_TOT,908,901,933,947,999,1026,1053,1022,1028,1055,1067,1086,1081,1063,1090,1071,1089,1075,1081,1080,1071,
Avigliana,POP_TOT,11066,11171,11467,11641,11768,11825,12015,12040,12105,12211,12256,12391,12391,12445,12459,12446,12427,12578,12611,12351,12328,
Azeglio,POP_TOT,1272,1294,1290,1303,1316,1326,1349,1353,1364,1371,1347,1350,1313,1340,1307,1301,1262,1253,1244,1235,1236,
Bairo,POP_TOT,796,813,829,852,815,808,838,824,823,831,822,805,779,787,777,787,794,790,797,787,791,
Balangero,POP_TOT,3025,3057,3073,3051,3072,3042,3081,3093,3148,3184,3178,3245,3205,3196,3165,3183,3181,3175,3153,3064,3045,
Baldissero Canavese,POP_TOT,514,523,516,494,495,501,493,503,518,551,528,528,545,553,555,544,539,543,531,533,528,
Baldissero Torinese,POP_TOT,3258,3326,3413,3532,3552,3603,3679,3764,3737,3829,3812,3795,3747,3742,3701,3721,3671,3624,3601,3671,3728,
Balme,POP_TOT,99,101,104,106,103,105,106,107,101,98,101,108,115,116,119,110,114,113,114,110,103,
Banchette,POP_TOT,3414,3390,3376,3431,3419,3367,3398,3387,3344,3338,3300,3270,3289,3247,3198,3212,3224,3205,3191,3112,3081,
Barbania,POP_TOT,1480,1508,1525,1532,1545,1544,1590,1591,1588,1623,1638,1634,1600,1597,1585,1578,1565,1566,1567,1585,1560,
Bardonecchia,POP_TOT,3029,3010,2961,2979,3019,3017,3066,3150,3189,3219,3253,3225,3231,3213,3200,3157,3136,3140,3148,3078,3051,
Barone Canavese,POP_TOT,586,589,600,596,611,614,631,619,608,598,599,598,577,580,588,587,588,588,578,559,556,
Beinasco,POP_TOT,18216,18412,18407,18416,18335,18104,18062,18102,18146,18138,18143,18160,18219,18213,18141,18104,17980,17915,17785,17532,17452,
Bibiana,POP_TOT,2850,2908,2962,2990,3070,3186,3299,3373,3382,3375,3422,3470,3502,3452,3447,3460,3450,3455,3470,3392,3366,
Bobbio Pellice,POP_TOT,593,594,616,613,597,587,588,586,583,567,572,570,569,555,562,566,552,542,547,537,539,
Bollengo,POP_TOT,1977,1997,2044,2019,2026,2073,2069,2064,2076,2087,2103,2118,2117,2157,2134,2139,2145,2163,2131,2097,2081,
Borgaro Torinese,POP_TOT,12755,12909,13043,13311,13459,13563,13599,13593,13548,13497,13604,13606,13428,13424,13393,11571,11932,11937,11907,11773,11835,
Borgiallo,POP_TOT,494,487,493,497,500,510,549,560,549,559,554,566,557,563,559,582,586,583,588,592,584,
Borgofranco d'Ivrea,POP_TOT,3639,3629,3661,3654,3639,3665,3686,3692,3716,3709,3710,3687,3683,3677,3682,3686,3638,3631,3596,3590,3537,
Borgomasino,POP_TOT,790,797,804,819,831,801,843,848,838,836,840,839,826,807,802,788,802,782,790,772,771,
Borgone Susa,POP_TOT,2223,2233,2275,2305,2325,2330,2350,2368,2369,2359,2327,2297,2295,2253,2225,2202,2197,2197,2197,2187,2150,
Bosconero,POP_TOT,2926,2922,2949,2992,2975,2991,3072,3126,3103,3089,3060,3092,3085,3128,3151,3135,3121,3106,3095,3074,3062,
Brandizzo,POP_TOT,7432,7505,7629,7794,7778,7874,8040,8117,8154,8288,8448,8521,8554,8609,8585,8587,8601,8581,8638,8798,8691,
Bricherasio,POP_TOT,4010,4010,4076,4098,4103,4131,4201,4339,4357,4434,4543,4587,4644,4644,4628,4646,4622,4629,4593,4564,4601,
Brosso,POP_TOT,469,468,481,475,488,478,482,486,482,476,459,452,448,445,422,412,406,393,401,402,395,
Brozolo,POP_TOT,434,444,467,475,472,485,504,486,482,483,478,482,476,477,470,464,444,433,440,449,453,
Bruino,POP_TOT,7306,7422,7687,7947,8126,8234,8404,8437,8483,8492,8551,8557,8545,8529,8574,8566,8543,8648,8578,8475,8453,
Brusasco,POP_TOT,1655,1663,1689,1680,1621,1638,1675,1712,1730,1749,1733,1694,1671,1652,1638,1607,1528,1503,1482,1482,1481,
Bruzolo,POP_TOT,1333,1344,1355,1404,1419,1473,1485,1523,1527,1534,1563,1589,1565,1556,1529,1531,1534,1526,1510,1487,1477,
Buriasco,POP_TOT,1301,1320,1319,1346,1363,1392,1403,1405,1409,1409,1409,1436,1454,1456,1414,1392,1365,1345,1355,1329,1331,
Burolo,POP_TOT,1344,1337,1325,1333,1342,1312,1315,1284,1276,1266,1239,1247,1250,1208,1180,1190,1160,1139,1126,1134,1111,
Busano,POP_TOT,1370,1374,1401,1442,1435,1453,1485,1517,1537,1564,1606,1611,1639,1638,1682,1650,1628,1621,1623,1622,1614,
Bussoleno,POP_TOT,6445,6430,6496,6529,6531,6575,6612,6562,6513,6465,6429,6305,6285,6099,6053,6005,5942,5922,5806,5703,5629,
Buttigliera Alta,POP_TOT,6560,6479,6503,6547,6551,6487,6498,6534,6486,6401,6430,6422,6401,6397,6430,6388,6433,6417,6346,6292,6278,
Cafasse,POP_TOT,3513,3506,3602,3627,3586,3589,3573,3526,3559,3563,3525,3492,3491,3475,3433,3411,3408,3391,3358,3334,3305,
Caluso,POP_TOT,7120,7153,7303,7350,7284,7268,7457,7459,7490,7570,7581,7601,7647,7604,7569,7452,7440,7473,7411,7344,7343,
Cambiano,POP_TOT,5789,5783,5930,5989,6109,6179,6299,6296,6310,6264,6235,6165,6190,6143,6102,6095,6044,5992,6011,5915,5895,
Campiglione Fenile,POP_TOT,1285,1279,1276,1332,1352,1364,1383,1383,1397,1386,1385,1378,1364,1364,1387,1354,1367,1334,1339,1333,1320,
Candia Canavese,POP_TOT,1301,1291,1303,1320,1292,1273,1304,1311,1293,1301,1309,1296,1297,1273,1249,1235,1217,1196,1176,1219,1211,
Candiolo,POP_TOT,5116,5197,5286,5342,5389,5567,5602,5631,5618,5560,5637,5634,5667,5693,5667,5638,5598,5635,5645,5627,5609,
