Comune,provincia,Value,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022
Acquafredda,BS,POP_TOT,1420,1474,1469,1504,1518,1532,1528,1561,1572,1581,1599,1598,1630,1625,1607,1573,1567,1521,1504,1513,1522
Adro,BS,POP_TOT,6425,6503,6686,6763,6809,6922,6989,7047,7069,7130,7117,7152,7168,7121,7034,7081,7104,7126,7195,7131,7150
Agnosine,BS,POP_TOT,1874,1874,1870,1885,1835,1825,1828,1826,1837,1837,1819,1830,1830,1826,1790,1755,1717,1695,1671,1636,1618
Alfianello,BS,POP_TOT,2340,2392,2424,2425,2409,2392,2414,2458,2444,2449,2466,2477,2490,2527,2499,2484,2432,2428,2406,2396,2364
Anfo,BS,POP_TOT,440,449,470,476,462,470,468,482,485,482,470,487,497,482,499,497,492,482,464,444,448
Angolo Terme,BS,POP_TOT,2505,2530,2560,2608,2590,2605,2619,2614,2580,2545,2489,2477,2477,2455,2437,2394,2382,2353,2343,2338,2298
Artogne,BS,POP_TOT,3124,3145,3119,3173,3309,3404,3474,3517,3525,3529,3579,3612,3626,3650,3629,3613,3569,3537,3553,3593,3577
Azzano Mella,BS,POP_TOT,1888,2042,2165,2247,2418,2546,2625,2659,2740,2870,2983,3027,3078,3109,3115,3141,3304,3360,3370,3356,3397
Bagnolo Mella,BS,POP_TOT,11373,11486,11701,11907,11978,12036,12241,12537,12672,12770,12749,12775,12753,12740,12654,12538,12530,12468,12456,12554,12499
Bagolino,BS,POP_TOT,3916,3870,3854,3876,3917,3905,3913,3916,3929,3955,3944,3940,3955,3935,3897,3881,3852,3855,3818,3746,3747
Barbariga,BS,POP_TOT,2190,2240,2267,2299,2342,2364,2387,2417,2416,2394,2411,2368,2347,2328,2314,2338,2312,2287,2313,2300,2328
Barghe,BS,POP_TOT,1125,1143,1154,1185,1172,1137,1131,1154,1184,1193,1201,1214,1215,1211,1197,1212,1186,1175,1160,1143,1133
Bassano Bresciano,BS,POP_TOT,1811,1879,1978,2007,2045,2100,2149,2161,2212,2217,2234,2269,2298,2308,2333,2317,2304,2297,2305,2326,2317
Bedizzole,BS,POP_TOT,9320,9471,9857,10151,10548,10787,11207,11380,11587,11753,11930,11976,12086,12157,12179,12199,12133,12186,12069,12314,12277
Berlingo,BS,POP_TOT,1864,1937,2020,2083,2183,2289,2409,2496,2527,2570,2606,2715,2729,2719,2703,2688,2723,2754,2763,2744,2731
Berzo Demo,BS,POP_TOT,1843,1841,1854,1843,1815,1769,1779,1768,1748,1740,1714,1707,1713,1694,1678,1670,1646,1627,1595,1551,1527
Berzo Inferiore,BS,POP_TOT,2202,2220,2284,2275,2277,2279,2315,2406,2438,2435,2464,2476,2480,2475,2488,2498,2478,2482,2469,2440,2447
